x,y,c,w,h,r,alpha,type
125.8134,48.7819,-9930967,5.773311,11.155575,0.94520473,53.077538,0
216.0,21.691586,-8670826,19.610798,16.424618,1.5224003,102.29538,0
107.47537,46.191505,-14804208,20.0,20.0,3.5854948,223.98676,0
5.320401,19.946217,-13675227,17.026543,14.392309,6.2831855,110.42778,1
97.24181,77.797386,-12431580,20.0,19.409306,0.9827533,129.52434,1
33.467125,6.379157,-14145506,19.996721,20.0,5.210322,38.9508,0
181.39372,0.0,-15965566,17.241585,19.032644,6.2831855,123.1327,0
51.91891,88.60691,-14143157,20.0,20.0,4.8090053,255.0,1
148.34627,28.04865,-3866981,18.058956,20.0,1.9480323,91.43385,1
98.63881,71.42072,-14565009,17.692179,1.3461804,6.2831855,22.664776,1
173.23845,80.96326,-16691189,11.326388,18.35733,5.9287906,67.22878,1
200.83098,110.70009,-15357404,20.0,17.799076,6.2831855,102.52351,1
73.4393,62.192657,-10740431,20.0,20.0,0.0,98.42408,1
113.86618,57.914658,-142838,19.200367,19.205818,4.7423706,122.66793,1
113.96663,45.62448,-10866672,20.0,20.0,1.9019566,171.62846,1
30.195202,61.30559,-14208703,20.0,20.0,6.2831855,240.15747,0
211.71103,107.58119,-12301018,18.926805,16.548859,1.7619711,110.827805,1
175.87512,94.7671,-10340781,16.206545,18.487085,2.9063494,137.76282,0
88.33632,84.753204,-5280508,20.0,13.556484,3.8626723,175.4228,0
91.21393,81.813995,-5570560,19.72416,20.0,4.0729837,138.2625,0
13.059305,68.98352,-15128485,20.0,20.0,1.231426,200.02832,0
70.04813,74.864395,-15711639,18.44699,2.3667645,2.7550564,165.6557,1
75.41645,53.42229,-9356800,20.0,20.0,0.0,108.950386,0
59.121307,57.502743,-16627606,20.0,20.0,0.56929815,127.10578,0
99.55862,49.63014,-9365759,20.0,20.0,2.2875185,184.69707,1
145.26126,62.912807,-5020385,16.380243,17.926094,1.8839719,46.723568,1
200.6879,82.204315,-12759180,20.0,20.0,0.81174916,236.92703,0
74.373,51.404667,-14302810,7.0914936,5.2842965,2.8613205,17.05566,1
130.52827,8.251947,-15466328,20.0,4.709731,0.0,74.300705,1
67.17565,81.65529,-10901516,1.1146293,8.542494,5.805253,59.479736,0
113.27367,116.0,-11394813,17.323067,13.005841,3.255531,237.83246,1
186.63754,39.161766,-13892036,16.971294,7.3449373,2.6143894,81.02785,0
162.18861,15.366085,-2379238,20.0,16.629604,2.6658578,44.740284,1
68.11928,96.76441,-13625002,16.799013,4.176072,1.382916,93.86025,0
33.706467,54.912422,-15530726,14.937063,13.040186,4.3547244,182.60832,1
27.267958,66.873604,-13875893,20.0,11.838432,4.4936914,230.391,0
131.32521,78.92266,-4651705,7.5578146,9.993216,5.238336,112.45528,0
138.7896,25.265577,-1412820,12.201778,20.0,2.3320832,48.68636,1
216.0,17.894747,-15109708,15.027437,15.84258,2.4002414,70.31756,0
170.98462,0.17452672,-12486758,20.0,20.0,0.2875772,179.40488,0
27.114279,3.6292696,-15514602,17.725647,20.0,5.788641,56.8711,1
47.248997,0.0,-15373807,20.0,20.0,1.6723957,55.833252,0
129.58159,4.969345,-16686241,20.0,20.0,5.039157,152.25653,1
127.96363,39.384613,-15454945,13.934601,6.575234,6.194767,65.626366,0
