x,y,c,w,h,r,alpha,type
34.002693,70.44652,-7522507,11.27035,12.324516,0.5874383,183.36172,0
108.49587,60.26565,-11514815,20.0,18.546728,4.488866,227.86285,1
140.00844,115.83689,-15391941,16.019081,18.574926,0.23674221,199.82365,0
43.589237,92.55605,-16775663,20.0,20.0,4.509655,224.76463,0
45.360626,18.987873,-9148040,20.0,17.318653,4.31577,173.44379,0
143.38565,64.43763,-6107160,14.234369,12.587966,4.3213043,206.85022,0
108.275826,54.683346,-11599308,17.189646,18.105999,0.58487386,78.57318,0
30.991816,128.00778,-15326418,20.0,20.0,3.074963,255.0,1
90.019516,76.746346,-10410346,20.0,18.519814,6.2831855,63.827534,0
37.765923,83.456764,-16202456,15.18232,18.729847,2.4698763,43.40128,0
111.6614,123.666336,-16776937,18.500095,18.027655,1.8039064,156.75725,0
116.59367,84.41408,-5536796,20.0,7.074597,6.2831855,226.02858,0
10.70045,82.59288,-9668389,20.0,19.454977,3.9683492,143.26178,0
77.24115,39.77496,-14676125,19.290491,15.878219,5.623003,73.93574,0
69.540924,150.0,-8531265,20.0,19.171421,3.145621,74.071,0
150.0,108.736855,-13920699,9.60868,20.0,6.2831855,121.6957,1
14.211937,108.64225,-1878299,8.105412,7.0324764,4.6232605,170.7436,0
10.050355,54.964172,-4995618,19.32977,11.06509,1.8320622,237.58197,0
100.92284,82.34781,-13887979,19.78789,20.0,6.04216,251.04329,0
127.91362,135.7161,-14604240,20.0,18.147293,3.4482913,194.6075,0
76.20388,53.920467,-10916469,18.416634,20.0,1.6337097,74.84174,1
119.07667,0.0,-16153263,6.473009,13.487218,5.399772,70.23163,0
114.7095,136.87491,-16276172,18.03343,9.055505,3.465672,153.76991,1
78.29395,40.891895,-2455142,20.0,20.0,2.0613873,87.92737,0
79.195656,112.200356,-8052989,20.0,20.0,3.837222,83.13416,0
87.637695,22.868101,-14340500,20.0,8.325484,3.8024378,98.71092,1
88.32485,130.98001,-12378873,17.842312,20.0,4.8718104,122.514,1
38.175644,12.421481,-15529956,20.0,16.440937,1.9756312,50.800247,1
17.793608,142.28659,-3787403,17.799978,20.0,2.817878,89.53013,0
113.29583,48.492626,-2969836,16.845684,8.201537,2.7783837,154.029,0
62.57747,60.99108,-2957683,20.0,13.426695,4.576878,127.68078,1
77.15192,79.30442,-7218935,15.241005,11.874995,5.033105,100.33225,0
42.923817,89.07035,-16698835,18.062834,19.249155,1.7078035,89.69317,0
60.50299,57.994965,-5467630,9.665955,18.065308,5.547279,52.916508,0
99.61619,36.058403,-10068128,14.78769,20.0,5.926457,200.28242,1
58.12017,125.69024,-12635827,18.83176,20.0,1.8621366,249.59933,1
134.70181,67.31593,-13617786,19.02618,16.298384,0.46537068,64.86692,0
83.57649,10.085653,-11095215,20.0,9.391505,1.9528705,224.10237,0
72.31358,105.5475,-13150666,20.0,20.0,3.8203304,78.13392,0
13.248062,123.97794,-7589179,18.261406,13.162321,3.124803,47.730957,1
120.18779,6.0869827,-5297501,18.435625,17.31009,5.5073395,38.72477,0
15.681304,3.954855,-7480879,7.874961,16.57988,0.0,206.95659,0
9.492146,47.817074,-7592147,9.121732,5.2108502,0.84512293,166.36089,0
57.005344,87.54919,-16251380,11.892661,15.515112,5.1667066,241.66782,0
59.9082,141.86867,-8812963,5.3566794,9.5446005,5.151078,205.14162,1
107.82619,117.44317,-16641950,20.0,13.422064,2.8565803,222.19489,0
58.204727,8.696972,-1103638,9.385503,20.0,6.2831855,98.26234,0
38.01546,60.368984,-11727562,19.730207,14.772842,4.7036595,236.74829,0
128.89,141.57509,-14279396,13.321125,6.8505526,1.4333357,165.49098,0
47.49742,89.89133,-16184048,20.0,20.0,6.226532,255.0,0
44.34746,107.21516,-13076736,14.476839,15.562878,0.28618553,226.35033,0
138.3254,51.79611,-12954701,7.9898376,10.942437,0.40589204,159.80771,0
142.42252,143.47107,-15658155,20.0,20.0,1.4405938,240.87138,1
139.9437,77.52123,-9149839,20.0,20.0,2.346028,82.47314,0
31.264711,68.60666,-9301358,18.228573,11.204427,5.4044394,238.03636,0
101.370766,65.85742,-15684498,19.201189,13.298599,2.3313704,70.92611,0
0.31889057,23.42972,-7404912,7.284197,7.968607,1.3750012,81.63526,1
76.27013,32.53054,-15694824,19.495068,13.26413,2.708881,31.10505,1
44.69704,60.41684,-15519156,20.0,20.0,2.3403583,103.70052,1
114.824425,148.86975,-6567758,6.0966253,7.089534,3.7966793,213.53268,1
13.724814,135.08096,-5267811,16.237604,13.799567,3.3073957,182.08603,0
75.23194,85.907074,-10769805,13.097098,12.920061,3.882365,183.20251,0
26.138008,106.814354,-16355542,20.0,15.116297,6.2831855,160.5925,0
110.472206,75.70927,-13684948,20.0,20.0,4.0610228,187.39021,1
17.399498,135.43266,-15303267,13.52918,19.321032,6.2831855,60.99721,1
144.14192,37.125866,-8492112,20.0,17.953701,2.4742079,23.329844,0
19.969942,51.568146,-4254161,16.172644,20.0,3.3521452,7.9673285,0
100.106964,67.49204,-1830221,20.0,17.593187,2.1781244,89.48499,0
123.39346,69.16035,-7372424,8.293564,20.0,5.9567223,114.55344,1
115.63865,135.35764,-15394254,13.320782,20.0,5.182822,236.27249,1
0.0,78.35245,-15724843,20.0,13.166979,5.6151547,49.896503,0
15.251576,6.3107505,-3572265,11.198004,20.0,0.63148665,96.47816,0
72.01819,118.24526,-14542585,20.0,20.0,0.0,195.47134,1
37.2725,71.51827,-14274529,13.434623,20.0,3.195191,137.118,1
73.90948,19.661291,-11398302,16.549263,6.1870217,0.5351409,126.68681,0
77.6706,26.656937,-9353615,15.657979,17.397085,3.4366179,203.74728,0
52.684864,117.65237,-15986909,20.0,19.114546,2.797899,227.61954,1
68.518425,89.79202,-12517348,20.0,5.139336,0.0,69.37535,0
141.89911,36.13055,-8613666,15.830087,14.281775,4.7804275,209.94577,0
84.543755,48.095703,-2303988,17.034023,15.444932,6.2831855,42.67713,1
27.076508,16.045841,-6911079,12.692113,20.0,4.0404167,202.59688,0
98.21814,58.84463,-9740724,7.117282,12.921938,0.0,121.46048,1
67.13397,5.5700927,-10849908,13.827384,20.0,1.0105627,162.37354,0
81.09895,124.95256,-15394012,20.0,20.0,4.7745233,241.65485,0
77.14233,114.61315,-16178388,20.0,20.0,0.36772585,200.77397,0
127.792625,75.660324,-10922676,20.0,12.723739,1.1643969,153.95541,0
0.0,28.40226,-13094054,10.352096,18.218678,3.8338063,132.07892,1
132.90672,142.60872,-16241367,20.0,20.0,3.4581807,184.02226,1
53.629173,63.97117,-13694860,14.099756,15.467539,2.3322434,100.79608,0
102.65661,39.51455,-15788228,11.769443,12.872598,0.930771,159.25378,0
96.60583,42.75875,-14643200,4.5571036,20.0,2.4755702,56.609745,0
18.624916,143.91806,-3184804,6.210521,14.605459,2.08578,142.26639,1
97.801674,142.57884,-13190684,11.156576,13.062731,0.5805816,151.82889,0
104.627495,107.196594,-10803637,20.0,12.805266,3.7770875,220.73473,0
78.66541,109.92545,-13360355,11.500326,15.438985,2.20518,243.11458,1
77.32733,63.825554,-4514328,16.413279,11.123016,2.1687822,35.106438,0
113.17094,62.415142,-14279300,16.093922,18.687822,3.181419,35.46073,0
34.916687,8.985171,-14530,20.0,20.0,1.4476199,77.60316,1
132.59953,83.292435,-2367347,8.364849,18.780365,2.796741,76.66,1
50.707943,131.42142,-11065021,20.0,20.0,1.5857002,99.6428,0
51.23332,35.81486,-6916313,20.0,16.939674,0.0,93.61786,1
7.6805058,46.738792,-10679362,10.742075,15.953651,0.116549656,62.579693,1
3.9180927,133.57799,-16015225,19.533705,16.183392,1.443103,47.518562,0
54.789043,20.43597,-5779054,17.590906,6.693718,2.438706,122.88429,0
31.93742,134.94516,-14089387,20.0,17.72334,4.5030627,76.593864,0
27.860096,137.1272,-4542789,20.0,18.456577,2.0636716,212.97672,0
23.479164,114.01661,-15656157,11.867544,20.0,6.2831855,233.5613,1
33.824596,23.285412,-4584087,20.0,12.519161,5.8174295,51.554512,0
124.12924,17.491932,-16484286,20.0,18.455967,0.86762035,17.21739,1
63.449646,26.326756,-9414048,11.042825,18.833712,4.6807456,157.0695,1
72.744255,2.8237534,-5693364,16.51388,15.905918,6.2831855,8.682309,0
33.595325,139.83308,-16115176,20.0,20.0,1.5131521,129.08562,1
31.291397,25.949135,-12313901,5.752927,13.810463,2.5625615,168.24388,0
125.48557,115.97608,-16307148,20.0,20.0,3.445709,130.47942,0
43.237125,28.102392,-14972125,13.245323,6.387036,5.314187,66.13078,0
36.182144,20.539377,-13392452,17.502811,12.842474,1.3829944,66.711624,0
85.64106,62.96402,-3620744,15.242753,12.18997,5.8290567,28.665726,0
67.08017,129.62798,-16112077,10.725793,19.833767,1.9031222,207.52989,1
59.226902,112.76867,-16444134,16.491955,20.0,5.1945057,167.12598,0
85.18622,114.474396,-16639412,20.0,14.838715,2.3248377,68.27163,0
111.593414,150.0,-54725,20.0,10.471054,1.6699109,45.96349,0
123.96877,3.4979734,-7035488,18.992785,8.90388,2.4168127,93.88093,0
24.640732,72.81095,-9087046,20.0,16.99813,4.2186356,33.767075,0
0.83567655,76.93354,-3489204,15.499598,17.242554,4.9866214,54.94436,0
47.666946,7.4765506,-2374203,19.769587,20.0,5.4971256,148.55592,1
39.669113,105.131874,-15262169,20.0,20.0,6.2831855,255.0,1
45.53783,40.13086,-15001323,13.389531,14.3675165,3.3467448,117.40184,1
48.629482,46.17601,-15066102,15.402553,20.0,6.029336,66.209656,1
40.27524,119.462845,-16777203,20.0,20.0,2.1123636,114.08657,1
21.999453,100.95501,-11698358,20.0,20.0,1.7124416,40.920963,0
71.501564,63.82887,-3235155,12.627926,17.128998,0.42499432,179.35147,0
136.25545,98.44186,-7307094,12.387203,15.901682,2.2218504,197.93063,1
144.78168,80.497536,-16729892,17.887766,14.27828,3.7841637,140.5368,0
40.14186,46.734276,-15003525,17.182924,20.0,1.1023065,20.468334,1
147.12427,101.9016,-8925201,20.0,20.0,4.015737,233.63275,0
130.35692,112.498405,-16048093,20.0,19.853832,6.2831855,107.69376,0
65.70008,25.190056,-13084411,15.270718,20.0,3.2658415,21.889915,1
149.33026,35.19801,-12411277,17.065916,12.855568,1.2378497,73.6979,1
62.94289,60.17172,-12109302,14.566235,4.4043097,2.7486029,114.21039,1
112.21152,33.21066,-1457995,18.059422,20.0,6.2831855,33.897205,1
111.605515,149.73625,-1041816,7.9055467,0.5239277,0.0,210.50064,0
42.94096,65.34479,-16506361,20.0,20.0,2.2663229,84.76647,1
121.00032,54.32734,-4818278,18.815468,20.0,1.3789377,16.382278,1
68.97965,52.708282,-15754981,16.97717,12.687563,2.696757,26.072437,0
12.3419285,67.88346,-7977141,20.0,7.1896563,4.7505755,247.21281,1
9.992859,48.47982,-11780828,3.6146643,20.0,0.0,108.48678,1
13.503166,23.436207,-4200710,19.080292,20.0,2.9041488,133.14323,1
13.718656,62.60119,-7864190,20.0,4.769495,4.332769,48.25727,0
108.80833,16.29982,-8502708,9.715017,14.610571,2.6082811,29.469137,1
10.602446,110.99534,-3851321,19.427925,20.0,6.050841,24.977377,1
49.817764,149.07072,-5982963,16.77819,10.739624,3.077611,24.893242,0
104.01397,115.01699,-16502726,18.712362,20.0,0.96240795,52.679203,0
144.94563,56.70045,-10691096,20.0,9.311788,2.461189,128.60513,0
