0,1,2,3
419.5252,426.95886,1.83747981E9,32.02408
249.82054,378.84067,3.69229856E8,227.66588
367.73874,0.0,-7.3789645E8,37.02412
380.7144,62.48134,-3.3007104E7,36.815834
129.26292,155.62762,-1.52679206E9,96.32619
1.0110006,339.58173,1.36547725E9,60.68731
5.731506,0.25449413,-1.76844096E9,157.18274
381.067,169.41135,1.27494643E9,138.14258
89.731834,298.82315,2.11346637E9,30.140423
384.3978,225.8242,1.61631462E9,135.44336
75.24873,171.26909,1.03874298E9,93.52464
367.32556,0.43335602,1.30253542E9,38.778084
117.41804,9.03125,-1117955.0,40.40787
206.91055,33.152958,-1.27520794E9,29.784788
45.65514,249.2967,-1360775.0,21.852049
484.182,403.71396,2.31068496E8,182.40968
29.293736,125.46207,1.66626355E9,33.22315
267.5797,54.140724,5.28792288E8,113.888824
227.49432,227.40471,2.6806464E8,49.70523
274.64868,414.27798,4.4339568E8,166.11937
457.44827,263.56372,-7.7898074E8,42.17062
152.22128,483.99997,-1.54718835E9,36.221363
386.80585,155.41696,1.45955238E9,112.59068
336.14108,278.48566,1.60070374E9,50.603146
484.13983,153.65709,-1.81988954E9,79.80649
368.3043,475.13632,3.0498506E7,271.85757
427.6894,388.49182,1.17441766E9,34.33506
234.89825,192.30002,1.04001632E9,62.99039
80.33349,59.111526,-1.16438016E8,32.880787
314.88165,334.32672,9.8156608E8,18.763613
269.47525,157.90236,-1.5709879E9,47.606743
268.58038,143.20079,-1.16327885E9,36.097298
405.1427,54.774662,-4.8667904E7,33.986404
281.25558,114.45938,4.69901632E8,72.41196
42.9491,62.387054,1.54502323E9,47.61044
401.91275,180.1406,1.63833472E9,100.29976
17.512087,416.12256,4.3060192E8,30.847525
333.89188,269.40945,1.68097037E9,40.719357
499.97195,38.08083,-3.51665408E8,40.795753
319.39334,153.36014,-8.0535334E8,56.65449
375.60367,89.695305,-1.98352192E9,54.642498
173.10115,0.9672968,-1.05452205E9,68.47722
222.7077,63.48975,1.5886784E9,26.818007
279.3077,480.35483,8.4017312E7,258.68076
475.62195,92.414955,-1.96292864E9,52.391567
65.667366,293.52853,-1.98680064E8,28.558773
441.16904,0.26211235,1.07308589E9,76.06235
265.6404,428.5106,1.25830195E9,27.912363
320.64334,410.98804,8.185904E8,30.846766
497.61633,238.35529,2.11448013E9,52.375927
130.20096,224.25197,-2.04603392E9,81.32159
139.43387,201.96819,1.92407168E9,145.33621
110.88137,316.78357,-1.68034304E9,53.51265
170.77243,43.28658,-9.2275597E8,28.879543
217.4932,126.35833,2.08189312E9,37.8843
5.9037085,426.58463,4.52447072E8,46.190754
186.77415,366.3527,-1.25829043E9,52.26582
386.5016,120.63628,1.05687955E9,53.432663
95.74344,315.10693,1.07223494E9,43.981586
359.52313,430.59308,1.07782272E8,188.86955
59.389046,20.517603,2.0234697E9,67.05925
476.57123,343.88293,-1.72599654E9,86.26835
79.146324,379.9316,4.44312288E8,43.025784
103.782745,107.419495,-1.51073312E8,32.127403
328.5345,291.92664,1.4548672E9,29.005163
174.41649,424.2921,-1.00651008E8,12.371414
228.944,20.76424,3.18806624E8,51.13416
277.9257,306.73465,1.07374182E9,57.19334
439.81427,92.54155,6.0212954E8,20.100603
493.3672,457.47256,-1.02208051E9,9.460641
70.18162,18.76374,4.15590592E8,73.56039
493.006,229.93883,1.1576343E9,43.62921
500.0,255.47629,-1.63514509E9,43.61308
272.60315,158.76413,1.19120614E9,37.129723
497.49164,223.5301,1.7908064E8,155.00357
236.76546,116.3061,4.93987904E8,75.6429
305.8954,472.04147,1.37574989E9,56.69036
165.18758,495.08057,1.04934598E9,60.790543
322.19852,97.20042,4.13502784E8,43.3287
366.5913,221.56425,2.50418784E8,54.479393
456.41833,75.125305,-1.71127296E9,29.53132
231.8646,354.35837,9.9664774E8,38.684998
465.14957,500.0,-1.91166438E9,30.917904
320.13892,190.8519,2.07598387E9,62.83623
16.01437,35.293755,2.07656486E9,35.86644
336.01187,473.01993,1.30323648E9,25.260386
166.37129,415.64282,4.42512512E8,65.0591
15.013387,184.55629,6.9102989E8,55.655914
335.58652,276.62747,1.66165158E9,5.646654
407.06537,205.08585,-2.90029952E8,12.935082
59.061993,178.51723,1.05452282E9,25.035303
450.76855,125.6188,1.86689613E9,26.808367
157.64224,89.86544,3.27434208E8,65.759056
123.59704,172.95744,1.46879283E9,57.633984
55.87533,500.0,1.550256E8,84.94806
114.30349,451.26114,1.1842071E9,41.00879
203.35068,337.35867,-1.34216704E8,40.488277
213.5619,106.274666,6.9810278E8,52.203255
317.96368,292.08624,9.8223072E8,25.607946
486.13702,68.192825,2.82276064E8,38.693882
288.018,236.35715,-3.39257216E8,10.336785
330.688,29.844091,8.5044531E8,29.118065
212.72676,416.21295,6.1149056E8,62.853786
143.45927,181.31079,9.6147866E8,40.802883
275.63727,390.27008,1.05374381E9,32.40499
182.24231,461.6569,7.00432E8,103.0551
175.77415,382.2839,-2.14385754E9,21.097837
315.48392,36.47893,9.4210291E8,28.575874
448.68607,396.10956,-1.86225536E9,20.264372
359.1313,55.575775,2.01673971E9,9.4385395
287.22025,115.036026,-2.82893824E8,21.34843
273.13376,139.34132,1.48394394E9,23.165508
295.5296,375.7951,1.2344823E9,27.646004
1.918241,282.38913,2.44311552E8,122.80091
80.697845,195.24646,9.225504E8,81.22029
185.6954,390.92337,-1.61060275E9,23.961132
73.786736,253.82257,7.872372E7,95.07215
473.68372,63.976917,5.9143027E8,31.707197
361.5319,177.66086,1.07100538E9,19.659143
86.9007,126.1883,-8.5572E8,23.086256
162.75922,403.73117,9.192048E8,40.349472
305.04666,95.43973,1.03243296E9,51.714542
217.01279,287.8688,2.05655088E8,74.6588
30.034435,69.14112,-6.1692851E8,31.179174
495.70697,54.502125,-1.94451507E9,36.986553
173.78072,405.66464,-1.00662502E9,29.24964
343.45572,33.84933,4.2209312E8,45.59741
86.92011,293.8567,-822886.0,23.170898
93.87725,446.75522,6.7241395E8,66.431145
341.3859,96.57368,1.54385357E9,24.657265
413.11105,223.65761,4.17202304E8,84.85447
152.51349,464.3642,1.05737626E9,21.918644
378.95908,446.28033,1.71326874E9,51.974735
462.0049,118.08289,7.3821184E8,51.84397
452.82275,437.4063,2.08812E8,59.879566
414.95358,306.7516,9.7831891E8,37.345295
85.54108,298.33368,1.02103802E9,23.349075
254.22072,139.565,-1.06945869E9,16.107115
